"id","plz","gender","age","income","years_in_job","religion","education","pol_immigration","pol_environment","pol_redistribution","pol_eu_integration"
67,86688,"female",66,35192.39,0,"Catholicism","high school",1,3,3,5
68,76448,"male",46,88998.52,7,"Protestantism","high school",2,3,3,3
69,7985,"female",32,76185.54,15,"None","high school",3,5,5,5
70,29365,"male",18,15277.69,1,"Catholicism","high school",4,4,2,4
71,72149,"female",53,32358.41,4,"Protestantism","high school",1,3,5,4
72,64546,"female",59,59564.29,0,"Catholicism","high school",2,5,1,3
73,35764,"male",18,44946.1,1,"None","trade school",1,3,1,5
74,79771,"male",59,66701.73,10,"Judaism","high school",2,5,5,3
75,7806,"female",37,52378.45,13,"Protestantism","high school",5,4,5,2
76,26131,"female",35,28532.02,1,"Protestantism","university",5,1,5,2
77,80799,"male",42,56000.53,5,"Protestantism","university",5,3,5,2
78,33758,"male",28,69690.09,11,"None","high school",2,1,1,4
79,65931,"female",51,46431.85,2,"Protestantism","high school",5,3,2,3
80,54306,"female",65,85894.23,4,"None","high school",3,3,4,5
81,80636,"female",45,59395.77,3,"Protestantism","university",3,4,1,2
82,76530,"female",24,50677.57,0,"Protestantism","university",5,3,3,5
83,84140,"male",61,19523.64,3,"Islam","trade school",2,3,5,4
84,80636,"female",34,60402.28,5,"Protestantism","high school",3,3,5,1
85,24863,"male",41,73762.07,24,"None","high school",4,5,1,3
86,80636,"male",55,57488.83,2,"Catholicism","high school",1,3,5,4
87,80331,"female",34,48387.34,4,"Catholicism","university",2,3,3,1
88,80539,"female",49,51020.65,32,"Catholicism","university",2,1,2,3
89,28755,"non-binary",35,106715.14,8,"None","trade school",4,1,2,1
90,94366,"female",40,52973.81,5,"Catholicism","high school",1,3,3,5
91,46395,"female",25,65059.84,5,"Protestantism","high school",4,4,4,3
92,80539,"female",46,92745.09,5,"Catholicism","no degree",3,3,2,5
93,96277,"female",52,60871.39,10,"Catholicism","university",4,1,4,3
94,80636,"male",18,38100.28,1,"None","high school",3,3,3,2
95,99706,"female",70,1508.25,1,"None","trade school",1,5,2,2
96,13059,"female",45,35839.71,2,"Catholicism","high school",2,3,1,5
97,79585,"male",61,33524.46,3,"None","high school",4,5,5,2
98,80331,"female",48,105629.59,10,"Protestantism","university",4,5,5,4
99,80539,"male",43,37535.39,18,"None","university",3,2,2,2
100,88319,"male",41,70163.08,3,"Catholicism","trade school",2,5,2,2
101,6217,"male",24,44974.2,2,"Buddhism","doctoral title",5,4,2,5
102,80636,"male",35,65006.97,5,"Catholicism","high school",2,5,4,2
103,21789,"male",48,28030.4,13,"Protestantism","no degree",2,3,2,3
104,45657,"male",40,56143.31,1,"Protestantism","trade school",5,4,3,1
105,1445,"male",29,21741.1,12,"Catholicism","high school",2,3,4,1
106,92339,"female",18,61855.98,1,"None","high school",1,4,3,1
107,92289,"female",18,15326.24,1,"None","trade school",3,5,4,3
108,1587,"male",61,9709.52,5,"None","trade school",5,2,2,1
109,80799,"female",44,25659.34,5,"Catholicism","university",3,4,2,1
110,91097,"female",55,69044.93,3,"Catholicism","high school",2,1,2,5
111,67482,"male",35,66301.02,3,"Protestantism","high school",2,5,2,1
112,23863,"female",33,27090.4,2,"None","university",1,3,2,4
113,80333,"male",48,45324.62,4,"None","high school",4,5,4,4
114,93093,"male",60,50849.11,5,"Catholicism","high school",3,3,1,5
115,24784,"female",70,30421.29,13,"None","university",3,5,5,4
116,80539,"female",47,50230.45,3,"Protestantism","high school",2,3,3,4
117,26121,"male",25,37902.42,6,"None","high school",4,4,4,1
118,86690,"female",18,55949.2,1,"Catholicism","high school",1,4,4,4
119,80799,"male",41,53509.42,0,"None","trade school",1,4,3,5
120,56340,"female",70,57558.17,2,"Catholicism","university",1,5,1,1
121,80539,"male",37,67904.73,3,"Protestantism","high school",2,1,5,2
122,80636,"male",18,37003.44,1,"None","high school",2,5,2,2
123,77756,"female",41,74012.32,0,"None","high school",1,1,5,5
124,53225,"male",47,54693.74,0,"None","doctoral title",1,1,4,2
125,80539,"female",62,36977.03,12,"None","high school",3,5,4,3
126,80333,"male",37,36546.4,2,"None","trade school",5,3,1,5
127,80799,"male",33,84045.58,10,"Catholicism","high school",4,3,3,3
128,80799,"female",25,82138.06,1,"None","university",2,4,5,4
129,39599,"female",50,30733.31,1,"None","high school",1,2,2,3
130,76229,"male",43,61673.59,3,"Protestantism","doctoral title",2,5,4,3
131,4416,"female",50,69536.55,1,"Protestantism","doctoral title",4,3,1,1
132,8141,"male",38,48347.66,6,"Protestantism","trade school",3,5,5,1
133,4821,"male",36,66190.75,0,"Protestantism","no degree",2,3,3,2
134,86153,"male",63,66078.75,11,"None","no degree",2,5,3,4
135,76698,"female",56,18269.69,1,"None","high school",3,4,2,1
136,86701,"non-binary",41,59707.29,1,"Protestantism","high school",5,1,2,5
137,58708,"male",40,52099.71,17,"None","high school",3,2,4,1
138,54455,"female",26,34656.89,4,"Protestantism","trade school",1,4,5,4
139,35619,"male",45,34257.44,10,"Catholicism","doctoral title",5,5,1,1
140,64385,"female",31,24074.2,14,"None","doctoral title",4,5,2,3
141,6132,"male",48,64152.22,1,"Catholicism","high school",3,1,1,5
142,82110,"female",47,83251.7,2,"Protestantism","high school",5,2,1,3
143,73734,"female",42,64440.78,13,"Protestantism","university",4,1,5,1
144,31249,"female",26,47105.72,9,"None","high school",5,4,4,5
145,94538,"female",44,36879.16,3,"Catholicism","no degree",4,1,2,1
146,84130,"male",38,42220.17,15,"Protestantism","high school",4,4,4,1
147,57648,"male",39,63960.04,0,"None","trade school",2,4,3,2
148,37449,"male",55,3530.08,9,"None","trade school",1,1,2,2
149,80799,"female",36,13668.6,4,"Islam","trade school",3,2,4,4
150,80333,"male",47,50377.45,7,"Protestantism","trade school",4,4,3,2
151,31637,"female",45,61128.01,3,"Catholicism","high school",1,3,4,3
152,3253,"male",23,43719.31,4,"None","high school",1,2,4,2
153,80636,"female",41,54589.13,10,"None","university",2,4,2,5
154,80799,"female",57,19115.9,10,"None","trade school",3,5,5,2
155,27333,"female",42,10024.02,2,"Catholicism","high school",4,4,1,4
156,91284,"male",28,85761.37,7,"Catholicism","high school",1,3,1,3
157,80331,"non-binary",68,82607.2,3,"Catholicism","university",4,2,2,3
158,80799,"male",56,44383.8,1,"None","trade school",5,2,3,4
159,9380,"female",34,66185.55,15,"Catholicism","high school",1,2,4,2
160,80636,"male",56,46443.35,11,"Protestantism","high school",1,2,3,3
161,79256,"female",52,41571.2,9,"Protestantism","trade school",1,5,3,1
162,86685,"female",45,48002.36,1,"Catholicism","university",5,1,1,1
163,67468,"female",47,64303.37,0,"Protestantism","high school",3,5,1,5
164,47226,"female",57,63828.73,10,"Catholicism","high school",2,3,2,1
165,80539,"male",26,62158.38,1,"Islam","high school",4,4,3,1
166,53545,"female",35,36173.97,6,"None","university",2,5,3,5
167,80799,"female",42,22233.87,0,"Islam","trade school",1,2,1,2
168,54413,"male",24,65795.96,2,"Catholicism","high school",2,1,2,3
169,80333,"female",18,50500.79,1,"None","university",1,3,5,5
170,94522,"female",44,34635.22,6,"None","high school",1,1,4,3
171,19209,"female",61,51093.9,11,"None","high school",2,4,4,5
172,37079,"male",30,38140.07,13,"None","high school",1,2,5,1
173,94239,"non-binary",48,83316.86,2,"Catholicism","trade school",2,1,1,5
174,80333,"female",45,96422.37,10,"None","high school",2,5,4,5
175,14822,"male",46,47266.68,13,"Protestantism","high school",5,2,1,3
176,49429,"female",22,38736.53,5,"Catholicism","high school",2,1,4,2
177,9575,"male",36,51254.3,9,"Catholicism","high school",5,4,3,2
178,25879,"female",49,3070.65,2,"Islam","university",1,4,2,5
179,2763,"male",57,67298.52,7,"None","high school",3,4,2,5
180,33719,"male",41,52914.99,6,"Protestantism","trade school",5,2,1,2
181,80636,"female",60,53761.55,3,"None","trade school",3,4,2,1
182,36043,"male",45,62667.11,10,"Catholicism","high school",1,3,5,5
183,24161,"female",18,69837.87,1,"Protestantism","high school",1,3,4,4
184,80331,"male",32,48027.7,9,"None","no degree",3,3,1,2
185,32457,"male",54,68760.98,6,"Catholicism","no degree",1,3,3,2
186,56424,"female",23,53996.54,6,"None","university",5,4,3,5
187,18225,"non-binary",70,29089.31,2,"Protestantism","university",1,3,4,1
188,76770,"female",19,58074.39,0,"Protestantism","university",1,5,1,4
189,29525,"male",38,43647.51,5,"Buddhism","doctoral title",2,1,4,5
190,39122,"female",44,59911.66,17,"Catholicism","university",5,3,4,4
191,80539,"female",44,15015.81,4,"None","high school",4,1,1,3
192,8324,"male",30,48884.82,3,"Catholicism","trade school",3,5,4,4
193,80333,"female",35,11665.95,5,"Protestantism","trade school",1,1,5,1
194,80539,"male",44,51434.15,6,"Eastern Orthodoxy","high school",4,2,3,3
195,77815,"male",38,73230.95,10,"Catholicism","high school",4,1,1,2
196,72505,"male",50,52969.14,5,"None","high school",5,5,4,5
197,80331,"female",31,38514.53,11,"None","university",5,3,3,4
198,54290,"female",40,480928.61,0,"Protestantism","trade school",2,5,1,5
199,63920,"female",34,58564.02,4,"Catholicism","university",4,3,3,5
200,97922,"female",43,30312.73,3,"Catholicism","high school",5,5,5,5
